project_id,user_id,members,mentions,message_number
50 70 ,141,11 83 53 4 56 6 79 9,0 141 0 0 0 0 0 0,8 9 6 6 8 3 2 2
2,143,10 66 138,0 0 0,4 3 3
2,152,9 4,0 0,1 16
2,4,11 6 50 9 ,0 0 0 4 0,1 1 1 4 4
1 70 75 ,6,83 69 50 17 59,0 0 0 0,2 2 1 9
2,9,4 56 141,0 0,1 1
2,10,27 53 56 79 11 80 81 83 138 17,0 0 0 0 0 10 10 0 0 10,1 2 7 1 8 1 52 2 1 18
2 67 73 ,11,56 10 50 4 83 147 138 17 59 141,0 0 0 0 11 0 0 17 11,2 1 14 2 2 4 1 9 2
33,14,4,0,1
37,26,23 51,26 0,27 1
39,53,66 33 10 55,0 0 0 0,1 3 1 1
1 67 ,59,11 58 56 6 30 42 51 12 47,0 0 0 0 47 0,1 3 1 8 1 2
2,65,56,0,2
41,74,79,0,24
50 71 74 144 ,79,10 74,0 0,1 31
2,80,10,0,44
17 61 ,83,69 6 79 144 3 11 33 138 141,0 0 0 0 0 0 0 0 6 69,2 2 1 3 2 2 1 3 1
2 156 ,138,10 11 83,0 0 138,13 5 2
4 75 ,141,11 83 56 9,0 141 0 0,2 4 3 1
2,143,10 69,0 143,3 21
78,145,146,145,1
2,152,9 17 4,1  4 ,9 13
141,155,4,155,4
2,156,56,156,12
2,10,138 14,0 10,5 9
39,55,53 33,53 33,7
70,141,83 14,141,2
2,152,9 4,0,3
16,141,6 69 56,0 141,1 7
2,4,66 56 6 10 50 3 11 85 81 147 156 138 9 ,0 0 0 0 0 0 0 0 0 0 0,1 1 4 1 1 1 2 1 4 1 1
39,9,66 69 53 6 4 83 33 138 17  141,0 0 0 0 0 0 0 9 0 66 17,5 1 6 2 2 1 1 4 3 1
2,10,66 53 56 65 74 3 11 81 4 138 17,0 0 10 0 0 0 10 10 66 138 0,1 4 7 1 2 3 11 8 1
2,11,56 10 50 3 4 83 81 147 59 141,0 11 0 0 0 0 0 0 0,1 8 10 1 3 1 5 2 2
2 39 ,33,83 53 55,0 0 0,3 1 3
39,53,66 69 80 33 10 9,0 0 0 0 0 53 0,12 10 6 4 1 47 1
156,56,23 10 144 154 3 11 81 156 59,0 0 0 0 0 0 0 0 0,1 7 9 6 9 3 3 3 3
67,58,59,0,2
67,59,27 11 58 56 23 30 63,0 0 0 0 0 0 0,2 4 4 12 7 3 4
41,74,10 80 79,0 0 0,1 7 1
50 71 144 ,79,53 74 14,0 0 0,4 1 6
2,80,53,0,31
156,81,3 11 56 10,0 0,3 3
2 17 72 ,83,11 33 138 79 141,0 0 0 0 0,3 3 1 8 5
141 156 ,138,66 4 83 10 17 9,0 0 0 0 0 0 0,1 12 4 10 9 4 1
70,141,9 11 83 4,0 0 0 0,2 8 4 3
2,143,74,0,3
37 74 ,147,56 6 23 50 26 4 11,0 0 0 0 0,4 1 35 6 3
2,3,11,0,1
2,4,27 56 6 10 50 3 11 81 147 156 ,0 4 0 4 0 0 0 0,1 11 2 3 2 1 1 2
73 74 ,6,69 53 79 74 4 83 147 138 17 9  141,0 0 0 0 0 0 0 83 69 17 9 6 6 0,17 2 1 2 3 1 2 10 8 4
2,10,27 3 81 11 14 4 56 138 143,0 0 0 10 0 10,4 4 1 44 2 1
73,11,4 83 56 147 23,11 83 0 23,1 11 1 1
50,14,10,0,4
37,32,153 27 23,0 23,5 7
72 74 ,50,4 23 59 9 141,0 50 0 0 0,1 2 13 4 1
39,53,66 69 6 4 83 138 17 9 ,0 0 0 6,10 3 4 3
72 156 ,56,23 79 10 144 3 11 5 4 81 156 59 9  141,0 56 0 0 0 0 0 0 56 0,2 4 1 5 1 13 11 1 1 4
75,69,53 6 4 83 141 138 17 9  78,0 0 0 6,1 1 2 1
41 50 70 ,74,6 79 141,0 0 0,1 7 2
120,78,69,0,1
71 144 ,79,53 56 6 74 141,0 0 0 0 0,1 1 10 3 2
39,80,53,0,2
156,81,3 4 11 56 138 16 10 141,0 0 0 0 0 4,1 1 2 1 3 1
73,83,69 53 6 11 4 138 17 9  141,0 0 0 0,14 7 35 4
156,138,66 69 53 6 10 4 83 17 9 ,0 0 138 0 0 0 0 138,1 3 60 1 4 1 2 1
4 50 71 ,141,81 83 56 6 79 50 90 92 74,141 0 0 0 0 0 0 0,4 2 5 2 39 2 2 4
2,143,10 154,0 0,4 1
78,145,146,145,2
78,146,145,0,1
37,147,11 6 23,0 0 0,2 1 13
72,156,1  4 56,0 156 0,1 6 10
2,3,11 81 56 156 10 65,3 0 0 0 0,16 4 3 6 5
2,4,56 6 23 155 81 85 11 153 156 9 ,0 0 0 0 0 0 0 0 0 0,4 1 4 1 1 4 4 1 2 1
37,5,27 23 26 51 ,5 0 0 0 0,44 3 1 3 13
1 71 120 ,6,4 83 69 144 63 141,0 0 0 0 0 0,8 1 14 3 1 7
2,10,27 3 81 65 143,0 0 0 10 0,9 4 1 5 2
67 73 ,11,3 81 56 147 50,0 0 0 50,6 4 2 2
41,16,154 81 74,0 0 0,4 4 1
67,30,51,0,13
37,32,73,0,1
39,33,53,0,16
74,50,11 147 23 59,0 0 0 50,4 1 4 2
39,53,66 80 141 33 90 9 92 62,0 53 0 0 53 0 0,5 23 2 1 88 10 4
156,56,79 144 92 3 11 4 156 9  141,0 0 0 0 0 0 0 0 56 0,1 1 4 2 4 5 6 3 9 2
2,65,10 3,0 0,1 1
41,74,79 16,0 0,3 8
72 144 ,79,56 147 16 74 141,0 0 0 0 0,1 4 4 1 2
39,80,74 53,0 80,57 1
156,81,3 11 56 33 138 16 10,81 81 0 0 0 81 0,4 1 1 4 1 1 2
4 17 72 ,83,66 4 69 14 6 138 141,83 0 0 83 0 0,7 1 2 2 1 2
78,90,92 53,0 0,1 1
141 156 ,138,9 144 81,0 0 0,3 2 2
4,141,5 53 56 83 6 79 9,0 0 0 0 0 0 0 0,1 3 4 10 4 1 4 1
2,143,10,0,4
74,147,11 23 79 50,0 0 0 0,5 3 4 1
2,154,156,0,7
2 72 ,156,154 3 4 56,0 0 56,2 5 3
2,3,11 81 10 155 50 65 9,0 0 0 3 0 0,5 4 1 1 22 3
2,4,66 53 147 6 50,0 0 0 0 0,11 10 1 4 1
37,5,23 141 56 51,0 0 0 0,62 1 13 30
50 75 120 ,6,69 53 4 83 138 17 9  141,0 0 0 6 0 0,7 2 4 2 1 2
2,10,144 3 138 16,0 0 0 0,2 1 1 1
73,11,17 81 4 56,0 17,6 2
72 165 ,14,3 83 79 16 10,0 0 0 0 79,1 1 1 7 7
41 141 ,16,79 10 90 155 74,16 0 16 0 0,1 24 9 4 2
67,30,51,0,1
37,32,1,1,22
39,33,53,0,6
67 74 ,50,3 4 83 56 147 155 51 59 9,0 0 0 0 50 0 0,1 8 2 2 7 1 1
39,53,66 4 80 33 79 9 141,0 0 0 0 0 53 0,3 18 5 11 8 34 6
2 72 156 ,56,11 5 156 79 144 59,56 0 0 56 0 0,14 1 6 3 1 6
37 67 ,59,50 56 ,0 0 0,4 7 5
2,65,10,0,1
17,69,156 83,0 0,3 6
37,73,27,73,2
41,74,79 16,0 0,27 30
17 144 ,79,83 53 14 56 147 23 16 74,0 0 0 0 0 0 0 0,8 18 10 1 32 13 35 2
39,80,10 53,0 0,1 29
156,81,3 11 4 10 17,0 0 81 0 81,24 1 1 6 12
17 72 ,83,69 14 56 6 79 50 9 141,0 0 0 83 0 50 9,4 9 2 24 1 1
76 78 ,90,16,0,2
156,138,10 9 66 4,0 0,1 2
2,143,154,0,6
78,145,146,0,2
78,146,145,0,2
37,147,4 23 79 50,0 0 147 0,3 7 35 5
73 141 ,155,16,0,2
2,3,11 4 81 14,0 0 0 0,7 5 3 1
2 16 ,4,3 6 23 50 ,0 0 0 0 4,8 8 1 4 7
37,5,23 42,0 0,5 3
16 33 61 72 ,6,4 83 69 50  141,0 6 0 0 6 0,4 3 8 7 3 2
2,10,27 81 79 144 154 74,0 0 0 0 10 10,2 3 12 1 27 19
159 168 ,14,3 80,0 0,2 1
41,16,74,0,5
67,30,58 59,0 0,1 1
2 39 ,33,154 53 56,0 0,13 1
39,53,66 80 33 79 17 55 9 74,0 0 0 0 0 0 0 0,2 8 10 3 11 1 4 12
2 71 156 ,56,33 50 144 59 143  154,0 0 0 0 0 56,1 10 1 1 4 6
67,58,73 63,0 0,4 1
41,74,80 53 79 16 10,0 0 0 0 0,4 5 2 9 1
37 144 ,79,10 74 53,0 0 0,16 2 23
37 39 ,80,53,0,13
156,81,10 81 154,0 0 10 81 154,1 1 35
17 71 ,83,69 6 79 154 141,0 0 0 0 0,9 2 2 3 3
2 39 141 159 ,138,66,0 0,2 4
168,144,10 56,0 0,24 1
78,145,146,145,1
78,146,145,146,6
167,147,50 23 26,0 0 27 147 26,57 3 19
33,4,3 53,0 0,2 1
16,6,153,6,21
61,69,144,0,3
70 78 ,3,50 81,0 0,5 6
37,5,23 26 141,0 0 0 0,3 2 3 11
70 74 78 ,6,9 4 50,0 0 0,6 1 1
39,9,53 56 6 50 81 11 14 4 83 138 62,0 0 0 0 0 0 0 0,3 3 2 3 3 3 4 2
2,10,27 81 14 144 154,10 0 0 0,17 1 3 1
67 72 74 167 ,11,81 83 147 50 141,11 11 0,2 6 2
144,14,10 9 90 79,0 0 0 0,2 27 4 2
41 44 ,16,79 141,0 0,2 3
67,32,153 4,4 0,4 22
39,33,53 55,0 0,1 2
39,53,9 80 55 33,0 0 0 0,2 3 1 6
50 71 74 154 162 167 ,56,11 81 83 56 50 144 59 9 141,0 0 0 0 56 56 0 0,1 1 1 16 3 3 5 1
37 71 144 ,79,14 147 23 16 92,0 0 79 0,8 8 4 2
39,80,53,0,8
2 50 ,81,66 56 10 154 3 4 11 81 17 9,81 0 0 0 0 0 0 0 0,19 6 5 1 1 3 2 1 2
50 71 78 154 ,92,141,0,2
4 78 ,141,11 5 83 56 16 92,0 0 0 0 0,7 2 1 1 1
32 167 ,147,50 11,0 0,1 1
2,154,10,0,1
1 44 ,3,56 63 11 5 4 81 17,0 0 0 0,9 2 21 3
1 33 71 73 78 ,6,145 4 50 146 63 141,0 6 63 0 0,8 3 6 2 4
39,9,17 138 33,0 0 0,3 7 4
67 73 ,11,3 11 83 56 141,0 0 0 0 0,1 2 8 1 1
144,14,10 14 62,0 0 0,1 2 3
2 39 ,17,53 56 3 4 81 11,0 0 0 0,3 1 2 1
67,30,51,0,2
37 67 ,32,1,0,1
39,33,9,0,5
71 73 ,56,11 81 56 155 144 154,56 56 0 0 56 0,8 2 1 1 12 5
67,58,30 73,0 0,1 2
1,63,27 3 6,0 0 0,10 4 2
31 71 72 144 ,79,53 147 23 138 10 74,0 0 0 0 0,1 2 20 17 5
2 37 39 ,80,53,0,3
2,81,3 56 138 10 17,81 0 0 0 81,6 2 2 1 22
31 44 78 165 ,90,92,90,5
44 78 154 165 ,92,90,0,3
2,138,66 4 81 79 9,0 0 138 0 0,4 4 11 9 17
67,147,50 23 79,0 0,14 10
156,154,143 56,0 0,7 1
141,155,56,155,3
2,3,11 4 14 56,0 0 0 0,1 1 12 4
37,5,23 26,0 0 5,6 1 2
33 120 123 ,6,69 53 50 4 83 153 17 9 141,0 0 0 6 0 0 0 6,1 3 4 4 4 1 7 11
39,9,66 11 4 14 53 33 6 ,9 0 0 0 0 9 0 0,8 1 1 3 11 5 2 2
2,10,27 11 53 56 138 79 16 144,0 0 0 0 0 0 0 0,1 2 21 7 2 1 16 7
2 72 73 ,11,3 11 81 56 17,0 0 81 0,1 3 5 3
41 165 ,16,10 83 74 141,0 0 0 0,8 3 3 2
2 70 ,17,11 4 81 56 6,0 0 0 0,3 11 3 1
39,33,9 53,33 0,15 8
39 154 ,53,69 80 33 6 10 9 141,0 0 0 0 0 0 0,5 2 8 12 2 9 2
2 154 ,56,27 3 80 156 10,0 0 0 0 0,6 2 10 8 2
61 75 ,69,81 83 6 141,81 0 141 69,6 7 5
67,73,26,0,1
37 144 ,79,147 23 16,0 79,1 22
2 39 ,80,10 53 56,80 0 0,2 8 10
2,81,11 4 69 17 154,0 81 81 0 0,5 7 17 6 6
78,90,10 92 14,0 0 90,1 5 6
44 78 154 ,92,90,92,12
71 120 ,6,69 83 138 9 141,0 0 0 83,2 1 1 3
67 74 ,11,11 83 147 50 9 141,0 0 50 147 11 0,6 2 13 1
2 74 141 ,17,138 81 83 ,0 0 0 0,1 2 4 15
67,30,58,0,1
39 154 ,33,80,0,4
154,56,10 90 92 79,0 0 56 0,3 1 4 4
67,58,5,0,4
1 61 75 ,69,1  83 141,83 69  83 141,18 3 1
16 37 144 ,79,53 56 90 92 141,0 0 79 79,11 1 6 5
39,80,53 33,0 0,1 6
17 72 ,83,11 69 6 138 17  141,0 0 0 0 0 69 0 0,5 23 4 9 1 1 1 1
78 144 ,90,9 92 79 56,0 0 90 0,5 2 3 21
71 154 ,92,56 79 90 141,0 92 79,2 14 3
141 159 ,138,66 69 6 10 144 4 83 17 9 62,0 0 138 0 0 0 0 0 0,2 9 6 1 5 2 4 5 1
61,141,11 4 83 56 6 79 92,0 0 0 141,3 2 1 5
67 167 ,147,11 4 23 50,0 0 0 0 0,4 1 8 2 23
73,11,1  4 141,0 0 0,3 5 1
76 159 ,14,10 9 16,14 0 0,5 10 5
70 74 141 165 ,16,4 83 14 56 10 92,0 0 0 0 0 0,4 3 3 10 1 2
16 141 ,17,9 138 83,0 0 0,2 1 1
39,33,66 80 53 55,0 0 0 53,2 10 2 2
39,53,3 66 80 53 33 79 10 55 9,0 0 0 0 0 0 0 33,22 2 9 1 3 1 31 9
70 71 72 73 154 ,56,32 79 154 11 4 85 153 156 16 59  141,0 0 56 0 0 0 0 56 56 56 0,4 1 7 5 7 1 5 28 5 9 1
67,58,30,0,1
72 144 165 ,79,53 56 6 23 10 92 74 4 83 147 141,0 0 0 0 0 0 0 0 0,7 3 1 3 16 38 3 4 1
39,80,53 33,0 0,3 36
17 61 ,83,69 6 138 79 17  62,0 0 0 0 0 0 0,3 2 10 26 1 3 1
70 72 78 ,90,92,0,31
44 72 78 ,92,90 79 16,0 0 0,6 1 14
72 141 159 ,138,9 144 17 ,0 0 0 0,1 1 3 1
2,154,10 141 56 143,0 0 0,5 1 4
72,155,16,0,1
70,156,1  56,0 0,6 2
39,33,143,0,2
1 16 61 ,69,85 83 53 6 16 143,0 0 69 0 0 6,2 2 14 29 2 7
2,81,3 4 17 143 9,81 0 0 0 0,2 1 2 1 4
33 61 71 74 78 ,6,4 141 63,0 0 0,2 1 1
67 73 ,11,4 81 56 147 50,11 0 0 0,2 1 3 2
67,32,153,0,12
39,53,66 6 79 10 9,0 0 0 0 0,2 4 2 11 4
50,62,83 92 5,0 0 0,10 2 2
144 165 ,79,138 80 53,0 79 0,8 2 1
2 39 ,80,16,0,3
2,81,3 11 4 10 17,0 0 0 0 0 0,2 13 11 5 4 2
72,83,69 62 6 17 141,0 0 83 0,1 2 1 2
44 78 ,85,10 16,0 0,1 17
78 144 ,90,92 79,0 0,2 2
50 78 165 ,92,155 90 62,0 155,2 2
4 70 78 ,141,6 4,0 0,4 3
141,155,90 92,155,8
1 33 171 ,6,66 69 63 3 4 83 138 9 141,0 0 6 0 0 0 0,1 18 4 13 3 1 1
2 67 73 ,11,11 4 56 147 155 50 17,0 11 0 56 155 50 147,2 3 5 10 6 10
141 165 ,16,85 138 4 74,0 16 0 0,1 13 1 2
2 74 ,17,11 83 56 138 10 ,0 0 0 0 17 0,1 3 3 1 11 11
67,30,42,0,2
37 67 ,32,1,0,6
39,53,66 33 10 9,0 0 0 0,20 4 2 3
2 73 74 162 ,56,23 79 144 92 3 11 4 81 85 138 17 59 141,0 0 0 0 0 0 0 56 0 0 0,4 6 10 10 1 2 1 15 2 4 3
1,63,6,63,8
41,74,83 79 16,0 0 0,26 9 3
39,80,10 56 33,80 0 0,2 3 2
16 50 61 72 ,83,66 69 62 6 3 4 138 17 141,0 0 0 0 0 0 0 83,5 3 16 6 3 15 3 6
141 144 ,90,155 92 85,0 90 0,9 2 3
141 165 ,92,155 90 85,85 0,2 2
71,141,4 83 56 6 79 92,0 0 141 0,13 1 16 2
67,147,11 23 79 50,0 0 0 0,22 4 2 6
141,155,90 11 92,155 155,10 2
33,6,66 53 50 63 4 153 138 17 59 9,0 0 0 0,3 1 2 1
2 67 73 ,11,4 56,11 0,2 1
2 39 70 ,17,4 138 10 9  62,0 0 0 0 0,1 1 1 5 4
39,53,66 69 80 79 74,0 0 0 0 0,18 1 2 14 27
2 71 73 74 162 ,56,3 11 79 10 144 59 92 141,0 0 0 0 0 56 0,3 2 1 5 6 12 8
67,58,147,0,6
67,59,50 5 56 63,0 0 0 0,1 9 5 2
1,63,6,63,1
2,65,10,0,1
16,69,154 83 53,0 69 0,1 17 1
41,74,53 79 16,0 0 0,1 2 10
71 144 ,79,53 56 10 90 92 74 141,0 0 0 0 0 79 0,3 10 9 6 2 1 8
2 39 ,80,10 53 33,0 0 80,1 4 32
50 72 171 ,83,66 4 69 6 138 141,0 0 0 0 0 138,3 1 11 26 19 1
144,90,92 79,0 0,4 9
141 165 ,92,56 90 79 141,0 0,6 7
70 71 ,141,3 83 69 56 6 79 92,0 0 0 141 0,2 1 22 14 3
16 33 61 74 124 ,6,66 69 53 50 154 92 4 83 138 17 59 9 141,6 0 0 0 0 0 0,6 5 7 1 1 9 2
67 73 ,11,3 11 83 81 147 155 50 141,0 0 11 11 0 50 11,1 2 8 21 1 3
70 74 141 ,17,66 53 6 50 4 138 59 9 ,0 0 0,11 1 2
39,53,66 6 10 50 4 33 138 17 59 9,0 0 0 0,2 3 2 5
71 74 ,56,85 79 155 92 141,0 0 0 0,2 1 4 1
67,58,30 32,0 0,1 1
67,59,66 53 6 50 63 3 4 138 17 9,0 0 0 0,1 5 3 5
61,69,85,69,4
41,74,79,0,17
71,79,74 56 90 92 141,79 0 0 0,28 17 4 4
2 39 ,80,10 33,80 80,15 7
71,92,83 56 6 79 141,0 83,1 2
70 71 ,141,11 4 83 56 69 6 79 92,0 0 141 0 0,3 7 14 5 5
67,147,50 11 16,0 0 0,1 1 1
2 16 33 71 123 ,6,66 4 83 81 53 138 50 17 59 9 154 141,0 0 0 0 0 0 0,6 1 1 3 4 2 1
2 73 ,11,11 4 56 147 50 17 141,11 11 0 141 17 147,8 2 2 14 2 5
141 165 ,16,85,0,1
2 141 ,17,11 56 138  62,0 0 0 0 0,2 2 3 2 7
39,53,66 4 80 33 156 6 138 10 50 17 55 59 9,0 0 0 0 0 53 0 0 0,38 40 4 6 5 39 5 5 2
67,58,147 50,147 0,3 2
61,69,83,0,1
71 165 ,79,90 3,0 0,5 34
39,80,66 53 33,80 0 0,41 21 1
70 141 144 ,90,10 92 85 79,0 90 0 90,1 46 9 11
141 165 ,92,90 63,0 0,3 9
141,138,10 66 17 144,0 0 0 0,2 3 1 1
70,141,11 6 83,0 0 0,1 15 18
73 167 ,147,50 11 58,0 0 11 147,6 7 10
16 50 61 120 ,6,4,6,15
165,10,138 14,0 0,1 15
122,81,143 6 83 56,0 0 0 0,2 1 1 3
33 61 71 78 ,6,66 69 53 4 83 33 9 141,0 0 0 83 69,1 6 1 7
2 165 ,10,3 4 53 79 10 144,0 10 0 0 10 0,12 2 1 25 4 1
73,11,3 11 4 56 50 141,0 11 11 0 0 4,9 1 2 8 11 1
39 70 ,17,9 66 141,0 0 0,2 5 1
39,53,3 66 80 4 69 33 83 6 10 59 9,0 0 0 53 53 0 0 9 6,7 12 64 16 19 10 22 1
71 74 ,56,11 81 85 156 50 59,0 56 0 56 0 56,7 6 2 15 10 4
2,65,10,0,2
61,69,66 53 6 4 83 33 9,0 83 6,7 1
72 74 144 ,79,10 90 145,0 0 0,3 2 1
2 39 ,80,10 53 33,80 0 80,4 11 17
72,83,66 69 53 6 4 33 138 9,0 0,25 2
71 78 141 ,90,85 79 92,0 0 90 92,2 4 7 1
78 165 ,92,141,0,5
71 78 ,141,6 23 65 63 12 92 3 11 14 147 16 17,0 0 141 0 0 0 0 0 0 0 0 0,13 4 17 4 2 8 1 6 1 1 8 2
71,153,1,0,3
70,156,1  56,56 0,2 1
76,3,11 4 81 56,0 0 0 0,9 25 25 5
33 61 120 ,6,66 69 53 155 4 83 33 9 141,6 0 0 69,18 5 3 2
2 165 ,10,27 3 4 80 138 79 141,0 0 10 0 0 0 0,2 1 23 8 1 29 2
67 73 ,11,3 11 81 147 50,0 0 11 0 0,13 1 6 1 2
74,17,9  62,0 0 0,6 41 1
39,27,10 33,0 0,28 2
37 67 ,32,141,141,1
39,53,80 33 10 9 141,0 0 0 0 0,10 1 4 14 4
74,56,79 50 3 4 81 153 156 59  141,0 0 0 56 0 0 0 0 0 0,21 1 4 9 2 3 7 16 5 6
67,59,50 4 56,0 0 0,7 10 9
2,65,141,0,1
67,73,141,0,1
71,74,79 141 16,0 0 0,10 2 4
2 39 ,80,80 53 33 10 141,80 80 0 0 0,5 6 18 1 2
4 50 61 ,83,69 6 138 141,83 0 0 83,2 2 6 7
141 165 ,90,155 85 92,0 0,3 1
141 165 ,92,90 85 141,0 0,6 1
4 16 71 ,141,27 66 69 32 53 79 50 144 26 154 74 92 80 14 138 9 56 6 30 10 83 73 33 16 51 62,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7 2 1 1 6 2 1 1 1 2 1 2 4 12 11 1 3 2 5 1 2 9 11 2 2 1
78,145,146,0,2
167,147,50 11 23,0 0,1 3
2 76 ,3,10 11 74 14,0 0 0 0,2 1 1 1
7 33 72 122 123 ,6,4 153 156 141,0 0 0,4 1 7
67 72 ,11,11 147 50 9,0 0 50 50 11 147,1 6 2 5
144 165 ,14,10 141 62 16,0 0 0 0,1 4 1 3
67,30,141,0,1
67,50,58 69 56 23 155 11 4 81 83 147 59,0 0 0 0 0 0 0 0 0 0 0 0,4 3 17 3 2 10 2 7 5 1 2 1
67,51,42 12 47 62,0 0 51 0,3 5 24 2
39,53,80 79 33,0 0 0,4 15 28
2,56,27 32 50 26  81 85 4 16 17 59 141,0 0 56 0 0 0 0 0 0,2 3 5 5 4 10 1 3 2
67,58,50,0,1
2,65,10 81,0 0,1 2
67,73,32,0,6
50 70 ,74,3 79,0 74,5 8
71 144 165 ,79,53 10 90 74 141,0 0 0 0 0,2 17 4 4 2
2,81,81 83 56 50 65,0 0 81 0 0,2 5 3 3 7
50 72 ,83,81 69 141 16,0 0 0 0,3 4 5 30
144 165 ,90,85 92 79,0 0 0,1 12 1
74 165 ,92,90 141,0 0,11 13
4 50 72 74 ,141,56 6 79 92 4 80 14 83 9,0 141 0 0 0 0 0 141 0 0,1 6 1 4 1 1 2 23 15 3
71,153,1  6,0 0,1 3
72,156,153 6 141,6,2
76 118 ,3,11 4 83 56 50 62,0 3 0 0 0 0,1 1 1 3 1 1
33 72 74 123 ,6,4 83 50 141,0 0 0 0 0,24 2 1 4 1
165,10,4 14 79 144 26 62,0 0 10 0 0 0,1 6 1 5 14 2
67 73 ,11,3 4 81 147 16 50 141,0 0 0 50 0 0 0,1 3 1 2 4 1 1
165,14,10 79,0 0,8 2
141,16,11 74 56 16,0 0 0 0,1 1 1 2
67,30,51,0,2
70,74,26 79,0 0,5 4
50,81,50 11 81 141,0 0 0 0,9 1 1 2
50 61 72 ,83,6 141,0 0 83,1 11 1
141 144 ,90,155 92 69,90 90 90,11 1 2
4,141,4 11 81 83 6 9 141,0 0 0 0 0 0 141,2 11 6 3 5 17 1
76,3,3 16,0 0,1 5
33 72 ,6,66 69 53 4 83 33 9,0 6 0,1 7 3
67,11,50 4,11 0,3 2
165,14,10 79,0 0,1 1
39 141 ,17,9 138 62,0 0 0,6 22 18
67,73,32,73,7
70,74,83 16,0 0,1 4
165,79,10 14,0 0,2 2
141 144 ,90,92,0,8
165,92,90,0,9
4 61 ,141,9 6 83,0 0 0,3 6 1
4 33 ,141,4 69 81 59 92,0 0 0 0 0,2 4 1 2 5
76,3,81 16 90 63 141,0 0 0 0 0,28 32 7 5 1
33 70 74 78 ,6,145 4 83 146 9 141,0 0 0,1 1 2
50 67 73 ,11,11 81 83 56 17,0 0 0 11 0,1 1 2 11 8
50 165 ,14,138 16 10 9 141,0 0 0 0,12 5 4 1
41 50 73 ,16,3 14,16 0,21 6
2 39 141 ,17,66 53 6 11 4 81 33 156 9  141,0 0 0 0 0 0 156 0,3 3 2 3 3 3 2 1
67,30,58 51 59,0 30,5 4
33 67 74 ,50,4 81 147 23 155 9,0 0 0 0 0 0,2 2 1 5 7 2
70 74 162 ,56,27 32 144 26  11 4 81 156 59 141,0 0 0 0 56 0 0 0 0,2 2 3 2 8 2 25 2 1
67,58,59,0,3
67,59,27 58 32 56 30 50 26 12 47  42 51 141,0 0 0 0 47 51 0 0,1 3 6 6 2 1 2
1,63,3 141,0 0,15 2
2,65,10 143,0 0,1 2
61,69,4 85,0,4
33 70 71 ,74,26 79,0 0,1 30
70 71 144 ,79,83 90 17 74,79 79 0,25 15 1
2 50 67 ,81,3 11 58 56 33 50 143 9,0 0 0 0 0 0 0 0,6 1 14 1 3 6 2 1
70 144 ,90,3 79,0 90,8 16
74 78 141 ,92,141,92,5
16 50 72 75 78 ,141,56 6 144 63 92 3 4 83 14 17 59 9 141,0 0 0 0 0 0 0 0 0 0 141 0 0,2 8 2 4 4 2 1 7 4 7 2 5 2
71,152,27 85 153 17 ,0 27  32  0,4 2 15 60 13
2,154,10,0,2
67 141 ,155,50,0,2
75,156,4 81 56 6 17,56 0,1 2
76,3,4 5 53 81 16 10,0 0 0 0 0 0,5 1 7 9 4 2
33 74 122 ,6,83 81 69,6 0 0,8 7 1
2,10,27 3 81 141 138 62,0 0 0 0 0 0,7 20 3 2 9 7
50 165 ,14,9 79 16,0 0 0,4 4 12
73,16,90 3 74 14,0 0 0 16,3 1 1 2
74 141 ,17,4 81 156 6 138 144 ,0 0 0 0,2 21 3 2
67 74 ,50,141 32 50 59 9 62,0 0 0 0 50 0,3 2 1 1 1 3
39,53,3 66 33 79 9 141,0 0 0 0 0,2 13 7 3 12
2 71 144 162 ,56,11 81 83 50 144 59 9,0 0 0 0 0,2 5 6 10 2
67,58,81,0,1
1,59,50 56,0 0,2 7
2,65,51,0,1
16,69,4 83 85 6 9 141,0 0 0 83 69 0 0,3 6 6 42 3 2
70,74,81 83 79 16,0 0 0 0,2 1 2 5
16 71 144 ,79,90 53 74 14,0 0 0 0,17 8 3 10
2 74 ,81,56 6 10 50 3 4 11 33 143 9,0 0 0 0 0 0 0 0 0 0,4 1 11 5 5 1 2 1 6 5
144,90,85 92 79,90 0 0,6 13 1
78 141 ,92,145 85 90,0 92 145 0,7 10 3 1
72,138,66 83 10 144 17 9,0 0 0 0 0 0 0 0,2 10 1 1 9 3 1 1
4,141,27 69 53 83 10 50,0 0 0 0 0 0,8 3 2 3 2 9
2 67 76 ,3,147 9 11,0 0 0,1 1 2
1 17 61 71 122 ,6,145 4 83 69 81 146,0 0 0 0 0,3 4 2 3 1
2,10,27 4 83 14 56 138 79 16 90,0 0 0 0 0 0 0,5 2 13 4 1 8 1
73,11,3 11 4 56 147 50 62,0 0 0 50 0 0 0,3 4 1 5 2 2 1
50 144 159 165 ,14,10 90 79 16,0 0 0,4 7 1
41 73 141 ,16,85 14 56 83 138 79 10 90 92,0 16 143 0 16 0 0 0,5 2 6 4 12 2 2 1
2 39 74 141 ,17,1  138,0 0,3 2
67 73 74 ,50,23 79 155 144 11 4 14 51 59 62,0 0 0 0 0 50 0 0 0 4,4 5 3 3 1 4 2 1 3 4
67,51,50 42 59 12 47,0 0 0,6 6 6
39,53,9 3 80 66,0 0 0 0,1 6 3 5
2 50 162 ,56,11 81 83 138 79 16 10 144 59,0 0 0 0 0 0,1 2 20 8 3 2
67,59,56 50 26 42 51 12 47,0 0 0 0,2 3 23 1
