timestamp,user_id,members,mentions,number_message
22/06/2017,16,144,0,18
22/06/2017,16,4 17 74 83 138,0,1
22/06/2017,16,6 14,0,1
22/06/2017,16,6 79,0,1
22/06/2017,17,10,0,3
22/06/2017,17,16,0,15
22/06/2017,17,62,0,1
22/06/2017,17,83,0,11
22/06/2017,17,4 16 74 83 138,74 16,2
22/06/2017,23,4,0,12
22/06/2017,23,5,0,14
22/06/2017,23,26,0,6
22/06/2017,23,50,0,9
22/06/2017,23,5 26,23 26 5,55
22/06/2017,26,5,0,1
22/06/2017,26,23,59 26,8
22/06/2017,26,51,0,1
22/06/2017,26,59,0,1
22/06/2017,26,62,62,2
22/06/2017,26,23 5,23 5 26,21
22/06/2017,27,3,27,4
22/06/2017,27,10,0,3
22/06/2017,32,5,0,9
22/06/2017,33,5,0,1
22/06/2017,33,53,0,18
22/06/2017,33,83,0,1
22/06/2017,33,9 53,0,1
22/06/2017,47,5,0,6
22/06/2017,47,12 51 42,47,2
22/06/2017,50,23,0,4
22/06/2017,50,59,0,4
22/06/2017,50,62,0,1
22/06/2017,50,81,0,1
22/06/2017,51,26,0,4
22/06/2017,51,62,0,54
22/06/2017,51,12 42 47,51,1
22/06/2017,53,4,0,1
22/06/2017,53,5,53 14,27
22/06/2017,53,14,0,9
22/06/2017,53,16,0,3
22/06/2017,53,33,0,24
22/06/2017,53,74,0,1
22/06/2017,53,80,0,3
22/06/2017,53,146,0,7
22/06/2017,53,9 33,0,5
22/06/2017,56,3,0,13
22/06/2017,56,4,56,9
22/06/2017,56,5,0,5
22/06/2017,56,59,0,4
22/06/2017,56,63,0,1
22/06/2017,56,81,56,3
22/06/2017,58,5,0,1
22/06/2017,58,30,0,3
22/06/2017,59,4,0,3
22/06/2017,59,50,0,12
22/06/2017,59,56,0,5
22/06/2017,62,16,0,6
22/06/2017,62,17,0,3
22/06/2017,62,26,0,3
22/06/2017,62,50,50,2
22/06/2017,62,51,0,43
22/06/2017,62,85,0,1
22/06/2017,62,6 83,83 6,1
22/06/2017,63,6,0,3
22/06/2017,63,56,0,1
22/06/2017,63,85,0,5
22/06/2017,69,6,0,2
22/06/2017,69,144,0,1
22/06/2017,69,6 83,83 6,1
22/06/2017,74,14,0,1
22/06/2017,74,16,0,2
22/06/2017,74,53,0,1
22/06/2017,74,83,0,15
22/06/2017,74,141,74,5
22/06/2017,74,4 16 17 83 138,0,3
22/06/2017,74,6 79,0,1
22/06/2017,74,81 143,0,3
22/06/2017,78,4 6,0,2
22/06/2017,79,141,0,9
22/06/2017,80,53,0,3
22/06/2017,81,50,0,1
22/06/2017,81,56,81,4
22/06/2017,83,3,0,6
22/06/2017,83,4,0,1
22/06/2017,83,16,0,8
22/06/2017,83,17,0,10
22/06/2017,83,33,0,2
22/06/2017,83,69,0,2
22/06/2017,83,74,0,12
22/06/2017,83,141,0,2
22/06/2017,83,6 141,0,6
22/06/2017,83,6 62,62,1
22/06/2017,83,69 6,0,1
22/06/2017,85,3,0,5
22/06/2017,85,6,0,13
22/06/2017,85,63,85,14
22/06/2017,90,145,0,1
22/06/2017,92,141,0,1
22/06/2017,138,4 16 17 74 83,0,1
22/06/2017,141,16,0,5
22/06/2017,141,74,0,8
22/06/2017,141,79,0,10
22/06/2017,141,83,0,2
22/06/2017,141,92,0,4
22/06/2017,141,6 83,141,20
22/06/2017,143,154,0,1
22/06/2017,144,16,0,7
22/06/2017,145,90,0,2
22/06/2017,145,146,145,1
22/06/2017,146,53,0,6
22/06/2017,146,145,0,11
22/06/2017,154,143,0,1
23/06/2017,3,4,0,1
23/06/2017,3,6,0,2
23/06/2017,3,10,0,2
23/06/2017,3,23,0,1
23/06/2017,3,56,0,5
23/06/2017,3,74,0,3
23/06/2017,4,6,0,7
23/06/2017,4,14,0,2
23/06/2017,4,69,0,1
23/06/2017,4,83,0,1
23/06/2017,4,6 17,0,1
23/06/2017,4,6 78,0,1
23/06/2017,5,23,0,59
23/06/2017,5,32,0,2
23/06/2017,5,47,5,7
23/06/2017,5,59,0,2
23/06/2017,6,3,0,4
23/06/2017,6,4,0,9
23/06/2017,6,9,0,2
23/06/2017,6,63,0,1
23/06/2017,6,69,0,3
23/06/2017,6,141,6,3
23/06/2017,6,4 78,0,2
23/06/2017,9,6,0,2
23/06/2017,10,3,0,3
23/06/2017,10,17,0,17
23/06/2017,10,27,0,3
23/06/2017,10,143,0,1
23/06/2017,10,143 154,0,1
23/06/2017,14,3,0,2
23/06/2017,14,4,14,3
23/06/2017,14,16,0,2
23/06/2017,14,53,0,7
23/06/2017,14,69,0,4
23/06/2017,16,50,0,2
23/06/2017,16,56,0,4
23/06/2017,17,10,0,32
23/06/2017,17,83,0,3
23/06/2017,17,4 6,4 6,1
23/06/2017,17,4 9 6 53 62 26 83 141,0,1
23/06/2017,23,3,0,1
23/06/2017,23,5,0,68
23/06/2017,23,26,0,51
23/06/2017,23,33,0,1
23/06/2017,26,5,26,4
23/06/2017,26,23,26,61
23/06/2017,26,62,26,7
23/06/2017,26,4 9 6 53 17 62 83 141,0,3
23/06/2017,27,10,0,5
23/06/2017,32,59,0,3
23/06/2017,32,73,0,2
23/06/2017,33,23,0,1
23/06/2017,42,12 51 47,0,1
23/06/2017,47,5,0,9
23/06/2017,47,12 51 42,0,1
23/06/2017,50,16,0,1
23/06/2017,50,59,50,16
23/06/2017,51,12 42 47,0,2
23/06/2017,53,14,0,11
23/06/2017,53,74,0,5
23/06/2017,53,85,0,9
23/06/2017,53,4 9 6 17 62 26 83 141,0,1
23/06/2017,56,3,0,5
23/06/2017,56,14,0,2
23/06/2017,56,16,0,1
23/06/2017,56,59,0,3
