channel_id,project_id,project_owner_id,interest_id
C8DAD8CT1,177,6,
C8SP4UPRT,,,
C07QVJTC7,76,4,
C8S9FMG2D,186,17,
C6D8K4QDP,,,
C712T0T6X,,,
C0HJ85WHZ,36,74,
C04NG5T5C,37,59,
C06U8J9FH,37,59,
C3J41BWLS,37,59,
C2NTK3GAG,37,59,
C3J6KRLUD,37,59,
C3J0S4J30,37,59,
C06U8Q1RR,37,59,
C3JQCBDD5,37,59,
C06U8R2D7,37,59,
C02GDJE1M,37,59,
C23AHDX7T,37,59,
C7ZAAFJMQ,,,
C2X2D8659,67,50,
C6VLY1AKU,67,50,
C8XSXQ43F,67,50,
C1J528STT,67,50,
CAP7RPA13,67,50,
C7E1T6WJV,67,50,
C39R7AJ20,67,50,
C9GV4751R,67,50,
C12MQ8QBV,,,
C0G9DM3SS,38,50,
C84KNV04A,38,50,
C3N5NMGAU,135,62,
C31G2V084,,,
C7VBFUVQT,173,62,
C1X9ZS11U,,,
C12P6JRNZ,,,
C12P6C621,,,
C4MK7TKRD,138,50,
C58QYDW4R,,,
C967GSPST,194,147,
C92KB95C7,190,147,
C3LCQ667L,,,
C2BJ38C86,189,56,
C2ZHGH10V,,,
C892CEN3F,176,4,
C8NDC24NA,176,4,
C8MJFEFGC,176,4,
C0TTAUH9R,40,14,
C6QCKV3AN,168,14,
C6AETPW8N,,,
C8CSTG5QD,,,
C54C7828M,,,
C1FNMU7H9,39,9,
CAXHNEZM2,39,9,
CAPG7AP5E,39,9,
C2L6WKQN8,39,9,
C871AF28L,39,9,
C2X20237S,39,9,
CAQANCZED,39,9,
C8Q0RJ5SN,39,9,
CAT8ZCE12,210,4,
C3AL7BUU9,,,
C54Q1L36G,150,138,
C4VQMJCH2,141,14,
C7MPGM0N4,141,14,
C8PGFEY8G,141,14,
C8TBFC5BN,141,14,
C928V3JPQ,141,14,
C53QMMNHG,144,4,
C43PCM598,78,6,
C0CT8L0N9,2,3,
C6EBU6JDN,2,3,
C6AAM398U,162,56,
C2U2LCGJE,2,3,
C98PF3FL3,2,3,
C6L77MQLT,2,3,
C9P31UVPA,200,9,
C0C7M5P27,41,16,
C3LBB039D,41,16,
C3KJD8DDH,41,16,
C3KLF4R34,41,16,
C9EJAN0DV,196,50,
C6HTN84R4,,,
C6H345004,,,
